responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
196	08/10/2015	08/10/2015	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Student	Medicine	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Weekly	Monthly	Daily	Yes	Not applicable	6-10 members	18 - 24
202	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Not very likely	Not very likely	Very likely	Very likely	Likely	Very likely	Likely	Likely	Strongly agree	Agree	Weekly	Quarterly	Quarterly	No	Yes	11-25 members	25 - 34
203	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Materials Science	Likely	Very likely	Likely	Not very likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Neither agree nor disagree	Daily	Monthly	Quarterly	Not applicable	No	1-5 members	25 - 34
220	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology	Not very likely	Not very likely	Not at all likely	Not very likely	Likely	Likely	Likely	Not at all likely	Likely	Not very likely	Neither agree nor disagree	Neither agree nor disagree	Daily	Weekly	Weekly	No	Yes	11-25 members	35 - 44
226	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	1	1	0	0	There is no crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	Associate professor/Lecturer	Other	Not very likely	Likely	Very likely	Very likely	Not very likely	Not very likely	Likely	Not at all likely	Very likely	I don't know	Strongly disagree	Neither agree nor disagree	Quarterly	Monthly	Never	No	Yes	None	35 - 44
227	08/10/2015	08/10/2015	Yes	1	0	0	0	Not very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Scientist	Biology	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Agree	Strongly agree	Weekly	Daily	Monthly	No	No	6-10 members	25 - 34
246	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Other	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Agree	Strongly agree	Quarterly	Monthly	Weekly	Yes	Yes	11-25 members	25 - 34
277	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	Yes	Yes	Yes	PhD Student	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Daily	Weekly	Weekly	No	No	6-10 members	25 - 34
341	08/10/2015	08/10/2015	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Likely	I don't know	Likely	I don't know	Likely	Likely	Likely	I don't know	Likely	Agree	Agree	Daily	Weekly	Weekly	No	Yes	11-25 members	25 - 34
344	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	I can't remember	No	No	No	No	No	Research Scientist	Physics	Very likely	Likely	Likely	Not very likely	Very likely	Not very likely	Very likely	Not very likely	I don't know	I don't know	Disagree	Neither agree nor disagree	Weekly	Quarterly	Monthly	No	No	11-25 members	35 - 44
357	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	I can't remember	No	No	No	No	No	Associate professor/Lecturer	Engineering	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Very likely	Very likely	Disagree	Disagree	Weekly	Weekly	Monthly	No	No	11-25 members	25 - 34
361	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	0	1	1	0	0	There is a slight crisis of reproducibility	Too much	70%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Other	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Quarterly	Quarterly	Quarterly	No	No	26-50 members	35 - 44
370	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Not very likely	Very likely	Not very likely	Not very likely	Very likely	Likely	Very likely	Very likely	Not very likely	Very likely	Strongly agree	Strongly agree	Daily	Weekly	Weekly	Yes	No	11-25 members	25 - 34
373	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Student	Other	Likely	Likely	Likely	Not very likely	Likely	Likely	Very likely	Not very likely	Likely	Not very likely	Agree	Agree	Quarterly	Monthly	Weekly	Not applicable	Not applicable	6-10 members	18 - 24
386	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	I can't remember	Laboratory Director/Head	Other	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Weekly	Monthly	Monthly	No	No	1-5 members	65 or over
448	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	1	0	0	0	1	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Chemistry	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Strongly agree	Strongly agree	Weekly	Monthly	Monthly	No	No	6-10 members	35 - 44
449	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Chemistry	Likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Agree	Agree	Weekly	Weekly	Weekly	No	Yes	11-25 members	25 - 34
451	08/10/2015	08/10/2015	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Senior Scientist	Medicine	Likely	Likely	Likely	Likely	Likely	Likely	Very likely	Not very likely	Likely	Likely	Agree	Agree	Weekly	Weekly	Weekly	No	Yes	6-10 members	25 - 34
452	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	I am unsure	No	Yes	Yes	No	No	No	Principal Investigator	Biology	Very likely	Very likely	Likely	Likely	Likely	Very likely	Likely	Likely	Not very likely	Not at all likely	Strongly agree	Strongly agree	Weekly	Weekly	Weekly	Yes	Yes	6-10 members	25 - 34
499	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Very likely	Not very likely	Likely	Likely	Not very likely	Very likely	Very likely	Likely	Likely	Strongly agree	Agree	Weekly	Weekly	Daily	No	No	11-25 members	25 - 34
505	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology	Not at all likely	Likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Not very likely	Likely	Strongly agree	Agree	Weekly	Weekly	Weekly	No	No	6-10 members	25 - 34
514	08/10/2015	08/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	I don't know	Not enough	80%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	PhD Student	Materials Science	Likely	Likely	Not very likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Agree	Agree	Quarterly	Quarterly	Quarterly	No	No	11-25 members	18 - 24
515	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	I am unsure	Yes	No	No	No	No	No	Post-doctoral Fellow	Physics	Not very likely	Not very likely	Not at all likely	Not at all likely	Likely	Likely	Likely	Not very likely	Likely	Very likely	Agree	Strongly agree	Daily	Monthly	Quarterly	No	No	6-10 members	35 - 44
517	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	Associate professor/Lecturer	Medicine	Not very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Weekly	Monthly	Daily	No	Yes	6-10 members	35 - 44
527	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Chemistry	Not very likely	Likely	Not very likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Likely	Agree	Disagree	Daily	Monthly	Daily	Not applicable	Yes	6-10 members	25 - 34
529	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Scientist	Engineering	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Very likely	Likely	Strongly agree	Strongly agree	Weekly	Quarterly	Weekly	No	No	1-5 members	25 - 34
533	08/10/2015	08/10/2015	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Strongly agree	Agree	Weekly	Monthly	Weekly	Yes	Yes	1-5 members	25 - 34
535	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Chemistry	Not very likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Neither agree nor disagree	Daily	Weekly	Monthly	Not applicable	No	6-10 members	18 - 24
543	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Chemistry	Not very likely	Not very likely	Likely	Likely	Very likely	Likely	Not very likely	Not at all likely	Likely	Not very likely	Disagree	Neither agree nor disagree	Weekly	Monthly	Monthly	No	No	6-10 members	35 - 44
546	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Research Scientist	Biology	Not very likely	Likely	Very likely	Likely	Very likely	Very likely	Not very likely	Very likely	Likely	Not very likely	Agree	Neither agree nor disagree	Monthly	Monthly	Weekly	Yes	No	6-10 members	35 - 44
549	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	I don't know	I am unsure	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Not very likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Disagree	Neither agree nor disagree	Monthly	Monthly	Quarterly	No	No	11-25 members	25 - 34
613	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Medicine	Very likely	Very likely	Likely	Likely	Likely	Very likely	Very likely	Not very likely	Very likely	Likely	Agree	Strongly agree	Monthly	Weekly	Weekly	No	No	None	35 - 44
625	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology	I don't know	Not very likely	Very likely	Very likely	Likely	Likely	Very likely	Not very likely	Very likely	Likely	Agree	Agree	Daily	Weekly	Monthly	No	Yes	6-10 members	25 - 34
634	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Research Scientist	Earth and Environmental Science	Likely	Likely	Likely	Not very likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Disagree	Agree	Weekly	Monthly	Monthly	No	Yes	11-25 members	55 - 64
666	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is no crisis of reproducibility	Too much	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Not at all likely	Not very likely	Not very likely	Not very likely	Very likely	Not very likely	Not very likely	Not very likely	Not at all likely	Disagree	Neither agree nor disagree	Daily	Weekly	Monthly	No	Yes	11-25 members	25 - 34
683	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	I am unsure	No	Yes	Yes	No	Yes	No	Senior Scientist	Earth and Environmental Science	Likely	Likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Disagree	Neither agree nor disagree	Never	Never	Never	Yes	Yes	1-5 members	45 - 54
684	08/10/2015	08/10/2015	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	Research Scientist	Biology	Likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Agree	Agree	Daily	Weekly	Daily	Not applicable	Yes	1-5 members	35 - 44
689	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Research Director/VP of Research	Biology	Likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Not very likely	Not very likely	Disagree	Disagree	Weekly	Monthly	Weekly	No	No	6-10 members	55 - 64
692	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Associate professor/Lecturer	Other	Very likely	Very likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Strongly agree	Neither agree nor disagree	Daily	Monthly	Daily	Yes	Yes	1-5 members	35 - 44
696	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	I can't remember	Yes	No	I can't remember	No	Professor	Biology	Very likely	Very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Very likely	Not very likely	Not at all likely	Agree	Agree	Weekly	Monthly	Weekly	Yes	Yes	11-25 members	55 - 64
701	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Not very likely	Not very likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Strongly agree	Strongly agree	Daily	Weekly	Daily	No	Yes	6-10 members	25 - 34
702	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	Yes	Yes	Associate professor/Lecturer	Other	Very likely	Likely	Not very likely	Likely	Very likely	Likely	Very likely	Likely	Not very likely	Likely	Agree	Strongly agree	Daily	Daily	Daily	No	Yes	1-5 members	35 - 44
717	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Student	Engineering	Very likely	Very likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Agree	Strongly agree	Daily	Weekly	Daily	Not applicable	Not applicable	1-5 members	18 - 24
718	08/10/2015	08/10/2015	Yes	1	0	0	0	Fairly familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	PhD Student	Materials Science	Not very likely	Very likely	Likely	Not very likely	Likely	Likely	Not very likely	Not at all likely	Likely	Not very likely	Disagree	Disagree	Daily	Weekly	Quarterly	No	No	11-25 members	25 - 34
722	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Likely	Not at all likely	Not at all likely	Not at all likely	Not very likely	Not very likely	Very likely	Not at all likely	Not at all likely	Strongly disagree	Strongly disagree	Monthly	Monthly	Monthly	Not applicable	Not applicable	6-10 members	25 - 34
742	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Laboratory Director/Head	Biology	Very likely	Very likely	Very likely	Very likely	Not very likely	Not very likely	Very likely	Not at all likely	Very likely	Very likely	Agree	Strongly agree	Daily	Monthly	Monthly	No	No	11-25 members	45 - 54
744	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	I don't know	I don't know	Likely	Not very likely	Not very likely	Very likely	I don't know	I don't know	I don't know	I don't know	Agree	Agree	Weekly	Monthly	Weekly	No	No	More than 50 members	25 - 34
746	08/10/2015	08/10/2015	Yes	0	1	0	0	Somewhat familiar	1	0	0	0	0	0	I don't know	Not enough	80%	I am unsure	No	No	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	I don't know	Likely	Likely	Likely	Strongly disagree	Neither agree nor disagree	Weekly	Never	Daily	Not applicable	Yes	11-25 members	45 - 54
750	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Disagree	Neither agree nor disagree	Weekly	Monthly	Weekly	Not applicable	Yes	1-5 members	35 - 44
751	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Too much	40%	I am unsure	No	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Strongly agree	Quarterly	Quarterly	Quarterly	No	No	1-5 members	35 - 44
